Time,Value,Change(%)
1698670800000,1805.4,-0.91
1698674400000,1829.84,1.35
1698686100000,1777.77,-2.85
1698712200000,1819.41,2.34
1698739200000,1780.99,-2.11
1698752700000,1813.99,1.85
1698765300000,1781.36,-1.80
1698798600000,1829,2.67
1698835500000,1792.46,-2.00
1698844500000,1827.58,1.96
1698849900000,1783.19,-2.43
1698894900000,1875,5.15
1698912000000,1820.53,-2.91
1698929100000,1842.45,1.20
1698942600000,1785.01,-3.12
1698955200000,1813.44,1.59
1698974100000,1777.11,-2.00
1698998400000,1804.46,1.54
1699007400000,1780.61,-1.32
1699027200000,1819.26,2.17
1699033500000,1799.72,-1.07
1699054200000,1834.58,1.94
1699060500000,1824.03,-0.58
1699064100000,1839.77,0.86
1699075800000,1825.59,-0.77
1699090200000,1847.58,1.20
1699110900000,1828.06,-1.06
